Palabra,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
lie,161,60,228,179,103
criminal,134,14,109,52,17
crime,96,9,94,49,26
garbage,87,19,12,48,85
wrong,83,36,85,65,33
bad,81,34,150,90,53
stupid,73,28,75,79,40
prison,73,3,34,32,11
fake,72,29,86,106,42
hell,71,15,66,59,24
joke,70,28,187,94,71
funny,69,14,99,65,35
problem,69,18,87,42,38
corrupt,63,11,87,25,8
hate,62,44,81,113,49
crook,61,0,16,2,1
lying,57,22,83,50,39
poor,54,20,56,44,24
idiot,53,20,77,59,38
liar,52,26,71,41,46
lost,51,22,72,101,14
hard,50,30,83,59,23
evil,50,17,60,46,16
sorry,50,9,52,40,18
crazy,49,14,58,49,14
racist,48,16,35,40,32
sad,47,14,83,89,22
shit,46,11,34,65,7
sick,45,6,52,28,13
loser,40,8,35,27,15
disgusting,40,15,37,29,23
conspiracy,40,2,16,2,10
traitor,39,4,46,12,6
guilty,39,1,11,3,6
dumb,37,12,34,70,11
worst,37,14,144,48,26
dead,36,7,53,20,11
fool,35,15,57,45,12
illegal,35,14,85,67,26
lose,35,11,49,32,9
fear,35,7,27,25,10
fall,34,9,55,31,7
issue,34,20,89,40,48
worse,34,8,87,31,21
fraud,33,7,42,18,13
death,33,4,41,19,13
dictator,33,12,76,31,8
break,33,5,39,16,14
threat,32,5,33,9,6
cry,31,11,52,19,15
false,29,7,18,14,11
lack,28,9,19,12,16
damn,28,5,31,51,13
falling,28,2,30,9,2
ridiculous,27,7,22,26,11
pathetic,27,6,48,47,14
shame,27,12,48,40,11
kill,26,1,18,11,4
cheat,25,2,20,10,2
crap,25,9,27,20,10
died,25,3,38,19,4
dangerous,24,8,30,15,17
felon,24,17,14,25,10
insane,23,6,19,16,9
blame,23,8,29,21,12
failed,23,7,41,23,7
enemy,23,6,30,19,7
trash,22,16,25,28,29
killed,22,11,37,19,8
corruption,22,9,26,14,4
interference,22,0,3,1,1
puppet,21,16,80,61,6
moron,20,4,20,22,9
lied,20,12,32,37,36
attack,20,13,30,11,15
loss,20,5,8,6,11
stormy,20,1,5,0,0
horrible,19,21,21,24,11
conservative,19,6,16,13,8
smell,19,3,10,5,10
killing,19,4,25,17,7
disgrace,19,7,29,15,12
die,19,3,22,12,6
destroy,19,4,40,20,14
propaganda,18,11,41,30,9
tired,18,2,18,8,8
cold,18,3,13,4,2
protest,18,1,55,1,5
stupidity,17,1,10,4,2
weird,17,24,19,20,142
opponent,17,5,32,14,8
nonsense,17,4,15,19,8
missed,17,2,8,3,6
waste,16,5,11,12,13
excuse,16,5,25,7,7
doubt,16,8,24,14,10
failure,16,3,35,12,13
disabled,16,0,4,2,1
losing,16,1,22,7,11
worry,15,2,15,24,8
bully,15,7,15,19,6
ignorant,15,6,11,29,6
incompetent,15,2,33,19,4
desperate,14,2,10,36,5
vice,14,40,44,69,46
danger,14,6,19,9,8
devil,14,6,17,18,3
absurd,14,1,1,0,2
suck,14,11,16,10,8
contempt,14,3,0,1,1
breaking,14,1,22,6,1
cheating,13,4,12,11,3
unbelievable,13,6,12,4,4
loses,13,1,13,10,3
awful,13,5,9,7,3
trouble,13,6,18,10,10
chaos,13,1,26,6,9
steal,13,1,22,10,3
killer,13,0,4,3,2
insanity,13,0,3,6,2
violation,13,2,7,1,0
weak,12,8,41,22,7
scared,12,6,20,14,3
whining,12,0,8,2,1
bullshit,12,3,10,7,1
crooked,12,3,33,0,2
dump,12,5,4,17,1
fail,12,2,22,7,6
loose,12,8,7,5,6
limit,11,2,18,3,2
racism,11,2,11,13,6
scary,11,4,19,9,7
authoritarian,11,1,6,5,1
senile,11,1,52,5,1
shocked,11,0,9,10,3
fucking,11,2,10,12,3
blind,11,6,17,17,3
hurt,11,2,20,8,11
mistake,11,9,21,11,3
boring,11,6,5,5,7
delay,11,1,5,0,3
miss,10,3,18,20,2
afraid,10,9,18,9,7
screwed,10,2,8,14,2
hatred,10,2,3,16,9
miserable,10,4,3,4,3
impossible,10,2,11,3,2
embarrassment,10,2,26,19,6
angry,10,3,18,6,6
slow,10,0,19,9,3
fault,10,1,26,8,3
hated,10,4,12,3,1
delusional,10,3,29,20,9
destruction,9,1,16,4,3
disaster,9,10,23,24,15
addict,9,0,3,0,1
badly,9,0,9,6,3
murder,9,1,11,9,3
loud,9,0,10,7,8
madness,9,0,9,5,2
debt,9,3,33,11,7
stole,9,1,10,6,2
confused,9,2,25,12,2
stolen,9,3,13,6,24
damage,9,1,26,5,9
sue,9,0,2,3,2
mad,9,8,21,10,14
mess,9,8,29,32,6
terrible,9,17,44,25,5
suspect,9,3,4,1,1
corrupted,9,1,6,5,1
unconstitutional,9,0,2,2,1
assassin,9,1,2,0,0
violent,8,4,17,11,7
fascist,8,9,23,18,6
negative,8,3,7,10,3
difficult,8,2,12,5,2
wasted,8,0,3,2,2
mocking,8,1,3,3,3
broke,8,7,16,26,6
vile,8,0,4,4,5
stealing,8,3,12,12,3
risk,8,5,11,8,4
fallen,8,0,12,2,2
stunt,8,0,2,0,3
dark,8,2,29,29,2
suspicious,8,1,4,1,1
creep,8,8,6,3,12
broken,8,2,13,8,2
messed,8,3,3,3,1
prosecute,8,1,3,1,0
refuse,8,2,12,4,2
blow,8,0,6,8,1
ignore,8,1,12,7,5
drain,8,3,4,3,0
complaining,8,0,4,7,2
fraudulent,8,0,4,2,0
coward,8,4,15,8,14
drag,7,2,4,2,4
cancer,7,1,9,3,1
shock,7,0,8,5,2
strange,7,5,8,6,4
ruin,7,1,9,12,1
stuck,7,5,10,2,2
monster,7,1,5,2,5
abuse,7,2,29,4,1
critical,7,1,9,8,2
hater,7,0,9,15,2
blatant,7,1,6,0,2
cheated,7,2,3,3,0
overthrow,7,0,3,1,0
hypocrisy,7,2,19,6,4
fell,7,2,8,6,3
scream,7,1,3,4,1
genocide,7,2,101,17,5
bogus,7,1,0,3,2
suffering,7,2,21,7,7
hoax,7,0,5,3,0
concerned,7,2,17,9,1
dislike,7,1,24,3,8
wild,7,1,10,10,1
toxic,7,1,6,2,3
fist,7,3,0,0,1
dirty,6,3,3,9,1
ruined,6,4,11,13,6
disgraceful,6,2,6,5,0
nasty,6,9,5,13,4
sucker,6,2,5,1,0
doomed,6,1,13,9,1
wicked,6,1,4,5,0
assault,6,0,4,6,3
hang,6,4,2,4,0
mocked,6,0,1,0,3
bomb,6,0,15,4,1
bother,6,1,2,4,1
heck,6,3,10,9,2
greedy,6,1,3,1,2
guilt,6,0,0,1,0
insult,6,4,10,11,18
illegally,6,1,10,2,2
crack,6,0,9,2,0
struggle,6,0,12,11,6
fat,6,1,8,6,1
accusation,6,1,3,0,2
ashamed,6,9,16,8,3
concern,6,4,16,7,4
confession,6,0,1,1,1
cheap,6,2,17,3,6
incapable,6,1,4,7,0
treason,6,2,18,5,4
undermine,6,1,0,1,3
dishonest,6,3,9,5,3
creepy,6,10,21,4,18
nightmare,6,0,4,5,2
pain,6,2,7,4,0
complain,6,2,4,9,2
illness,6,1,7,1,0
silly,6,3,7,7,2
suffer,6,0,11,7,2
rape,6,4,2,9,2
rip,6,1,6,6,3
hypocrite,6,11,11,7,11
demon,6,1,10,11,7
bothered,6,0,0,1,1
refused,6,5,8,2,2
stink,6,0,0,1,0
rhetoric,6,9,8,8,11
loot,6,0,6,0,1
incompetence,6,2,7,6,5
wound,6,0,2,3,1
unstable,5,1,2,0,1
hack,5,2,7,1,1
shameful,5,0,9,5,4
terrorism,5,0,3,2,4
fuck,5,1,11,18,0
trick,5,1,5,8,0
fascism,5,1,5,4,3
conflict,5,2,23,3,2
smack,5,1,1,2,1
offensive,5,0,1,4,1
crisis,5,4,45,12,9
hateful,5,3,5,9,5
biased,5,16,8,4,7
unfit,5,5,13,9,4
despicable,5,1,1,2,5
emergency,5,1,4,4,1
insurrection,5,4,14,2,2
freaking,5,6,10,10,6
disturbing,5,0,10,4,2
slave,5,1,5,19,3
lame,5,0,6,7,1
persecution,5,1,1,0,0
outrageous,5,0,7,1,2
collapse,5,0,6,5,1
disrespectful,5,4,3,1,4
severe,5,0,4,1,4
fooled,5,3,4,11,1
penalty,5,1,1,1,0
disagree,5,3,4,8,2
annoying,5,5,4,7,2
delayed,5,1,0,1,1
sadly,5,3,5,8,6
filthy,5,0,2,2,2
sham,5,0,4,1,1
twisted,5,0,3,1,1
unrest,5,0,0,0,2
extremist,5,1,11,2,0
embarrassing,5,2,22,51,5
injury,5,0,4,3,0
pig,5,0,4,1,3
dying,5,3,11,2,7
bored,5,1,1,0,0
pretend,5,1,11,13,5
bias,5,9,7,4,8
unfortunately,5,3,9,12,8
undermining,5,0,1,2,0
explosive,5,0,1,0,0
failing,4,3,9,4,4
reckless,4,0,0,1,1
gross,4,2,9,10,2
immature,4,3,1,0,1
childish,4,0,8,2,1
hypocritical,4,0,6,2,1
outrage,4,0,1,1,3
reject,4,1,1,2,2
useless,4,0,9,7,3
deluded,4,0,6,1,2
insulted,4,2,1,2,1
deny,4,0,4,3,0
ploy,4,0,2,0,0
manipulation,4,2,1,3,1
sued,4,1,0,3,1
unable,4,1,2,4,1
struggling,4,3,11,11,2
lunatic,4,3,10,5,3
denying,4,0,1,0,2
limited,4,3,2,0,0
greed,4,0,5,2,1
poison,4,0,2,4,1
bent,4,0,1,0,0
protesting,4,0,10,3,0
tragedy,4,0,7,1,0
miscalculation,4,0,0,0,0
whine,4,0,1,1,1
worried,4,2,11,6,8
falsehood,4,0,1,0,2
ranting,4,0,0,1,0
ugly,4,1,3,2,4
painful,4,0,3,8,0
suffered,4,2,1,4,2
madman,4,0,2,0,1
whiny,4,0,1,0,0
exhausted,4,0,1,1,1
violate,4,0,2,1,0
knife,4,0,0,0,0
louder,4,1,1,3,2
naive,4,0,4,5,1
spewing,4,1,3,4,2
misleading,4,1,4,3,1
unusual,4,0,0,2,0
begging,4,1,3,3,1
sore,4,0,2,0,0
drastic,4,0,1,0,0
symptom,4,1,3,0,0
harm,4,1,7,5,3
smear,4,2,4,2,1
burn,4,1,10,6,21
remorse,4,0,0,1,0
lazy,4,1,0,5,2
punch,4,0,0,1,0
negligence,4,1,1,0,0
darkness,4,1,6,2,2
odd,4,0,9,4,3
stupidest,4,0,3,0,10
opposition,4,3,11,4,4
rotten,4,0,3,1,0
offence,4,0,2,0,0
rival,4,0,6,2,2
cringe,4,4,18,28,10
liable,4,0,3,0,1
bait,4,2,2,1,0
assassinate,4,2,2,1,0
split,4,0,0,3,0
fatal,4,0,1,2,1
decline,3,0,29,3,1
jealous,3,4,0,6,6
slime,3,2,2,0,1
desperately,3,1,1,2,7
selfish,3,0,5,5,1
condemn,3,1,5,0,1
addicted,3,1,3,0,1
joker,3,2,5,2,2
denial,3,0,3,2,1
radical,3,5,15,7,8
nervous,3,1,2,29,2
aggressive,3,2,3,1,0
jerk,3,0,6,3,3
disgusted,3,0,4,2,2
appalling,3,0,3,1,0
downhill,3,0,3,0,0
deplorable,3,2,2,3,4
horrendous,3,4,5,0,3
irrelevant,3,2,5,4,2
complex,3,7,15,4,3
chill,3,0,2,3,1
frightening,3,3,3,2,0
tantrum,3,0,0,0,0
dragged,3,1,4,4,2
scare,3,3,7,1,1
loathe,3,0,0,0,0
deadly,3,1,2,0,0
rude,3,7,5,3,0
illusion,3,0,2,0,0
disrespect,3,2,5,3,5
redundant,3,0,1,0,1
strike,3,3,10,3,1
vanity,3,1,0,0,1
smelling,3,0,2,1,0
clueless,3,3,8,7,3
parody,3,0,12,3,1
crushing,3,0,0,2,0
bland,3,0,0,0,0
denied,3,1,2,4,2
fails,3,0,3,2,1
downer,3,0,0,1,0
slowly,3,0,2,5,0
lousy,3,0,1,1,0
tanked,3,0,0,2,1
stranger,3,0,1,2,1
upset,3,4,5,5,2
rage,3,0,3,0,1
declining,3,0,2,1,0
inability,3,0,1,1,3
bore,3,0,3,0,0
discouraging,3,0,0,0,0
weakness,3,0,6,2,3
butcher,3,2,5,0,0
bullying,3,1,3,3,3
sloppy,3,0,1,0,0
freak,3,4,3,5,8
burned,3,1,5,2,5
unpopular,3,0,3,1,0
fiasco,3,0,0,0,1
unethical,3,2,4,0,0
mystery,3,0,1,2,0
bloated,3,0,2,0,0
drunk,3,1,5,10,5
pity,3,0,5,1,0
defamation,3,0,1,0,0
wasting,3,0,4,3,1
totalitarian,3,0,2,0,0
ripped,3,0,0,3,0
hurting,3,0,4,4,1
idiotic,3,0,2,5,3
zombie,3,1,3,4,0
conflicted,3,0,1,0,0
incite,3,3,1,1,0
boycott,3,0,3,3,3
rumor,3,1,1,2,2
deception,3,1,6,2,0
ruining,3,2,9,3,1
dope,3,0,4,2,4
tank,3,3,5,0,1
rant,3,0,6,3,1
insulting,3,2,6,8,7
sickening,3,1,7,5,5
tragic,3,0,3,0,1
gutless,3,0,0,0,1
ignorance,3,3,3,4,5
bash,3,0,1,2,2
vomit,3,1,0,1,0
ridiculously,3,0,1,0,2
condemned,3,0,2,1,0
farce,3,0,2,0,1
bastard,3,2,3,2,1
forbid,3,2,2,0,4
bizarre,3,3,2,1,3
thug,3,0,3,2,1
bashing,3,2,7,4,1
phony,3,3,3,11,11
beg,3,1,1,0,2
limitation,3,1,0,0,2
complains,3,1,0,2,0
allegation,3,0,1,0,4
distraction,3,1,2,3,0
downfall,3,0,5,0,0
brainwash,3,0,2,2,1
hating,3,5,4,7,3
resigned,3,1,4,2,0
explode,3,0,0,1,0
warning,3,1,6,9,3
scratch,3,0,2,0,0
disorder,3,1,4,1,1
ironic,3,1,2,5,3
ludicrous,2,0,0,0,0
tout,2,0,3,0,0
innuendo,2,0,0,0,1
irony,2,2,5,1,2
ache,2,0,0,0,0
humiliating,2,0,1,2,0
warned,2,2,6,2,1
hostility,2,0,0,0,0
confuse,2,0,3,0,0
beware,2,1,4,4,0
frozen,2,0,3,3,0
critic,2,1,1,1,0
dick,2,0,0,6,0
criticized,2,2,1,1,3
abusive,2,3,1,1,1
crushed,2,0,2,4,0
extermination,2,0,0,0,0
breach,2,0,1,0,1
unbearable,2,1,0,1,0
manipulate,2,3,1,7,1
overrated,2,0,0,2,0
object,2,0,0,0,0
cruelty,2,1,0,0,0
slur,2,0,5,3,6
mysterious,2,0,0,0,0
mock,2,0,7,4,2
pout,2,0,0,0,0
abyss,2,1,1,0,0
gullible,2,2,6,7,0
autocratic,2,0,0,0,0
burning,2,2,6,3,6
challenging,2,0,5,0,1
unexpected,2,0,1,0,1
comical,2,0,1,2,1
smelled,2,0,0,0,0
sack,2,0,4,1,0
brainless,2,0,1,3,0
venom,2,0,1,0,0
unnecessary,2,0,3,1,0
implication,2,1,0,0,1
cracked,2,1,3,0,0
misguided,2,0,3,2,4
tramp,2,2,1,0,0
brat,2,1,1,4,0
slander,2,0,2,0,4
ugh,2,4,1,1,4
odor,2,0,0,0,0
chronic,2,0,1,0,0
criticize,2,0,3,1,1
evade,2,0,0,0,0
prisoner,2,0,2,1,1
temper,2,2,1,0,0
stumble,2,0,5,0,0
ridicule,2,0,1,0,1
lacking,2,0,0,2,1
spite,2,0,1,1,1
stumbled,2,0,2,2,1
torture,2,2,0,2,1
isolate,2,0,1,0,1
threatening,2,2,2,1,2
prick,2,0,2,0,0
horrid,2,0,1,0,0
raving,2,0,1,0,0
moronic,2,1,2,0,0
unpleasant,2,0,0,0,0
interrupt,2,8,0,1,0
stench,2,1,3,0,0
audacity,2,0,2,3,0
injustice,2,0,2,2,1
deceive,2,0,3,1,0
aggression,2,0,5,1,0
exhaust,2,0,0,0,0
breakdown,2,0,1,0,0
woe,2,1,1,2,1
damaged,2,0,4,1,2
misery,2,0,3,1,1
freezing,2,2,0,1,0
chilly,2,0,0,0,0
discredit,2,1,0,2,1
shocking,2,2,7,6,0
raped,2,0,9,3,1
bankrupt,2,1,4,3,2
cruel,2,2,4,1,1
malignant,2,0,2,0,1
crappy,2,0,2,0,0
arrogantly,2,0,0,0,0
disastrous,2,2,5,1,2
miserably,2,0,2,2,0
unequal,2,0,0,0,1
disappointing,2,1,4,5,1
collusion,2,0,0,1,0
blackmail,2,0,0,4,0
noise,2,1,1,4,0
bump,2,0,0,0,0
stall,2,0,2,0,0
dictatorial,2,1,1,1,0
grotesque,2,0,3,0,0
undocumented,2,0,5,0,0
doom,2,1,2,5,2
dastardly,2,0,0,0,0
unlawfully,2,0,2,0,1
leak,2,0,1,1,1
crash,2,1,9,6,3
immoral,2,2,4,1,0
destructive,2,0,3,1,3
terror,2,0,5,3,1
humiliation,2,1,2,1,0
rejection,2,0,1,0,0
meaningless,2,0,3,1,1
blah,2,6,10,3,5
vengeance,2,0,1,0,0
depression,2,1,4,0,1
exaggeration,2,0,4,0,1
complained,2,0,1,5,0
haunt,2,0,0,0,0
incessant,2,0,1,0,0
petty,2,3,2,0,3
overdue,2,1,0,1,0
complaint,2,0,2,5,0
suspicion,2,0,1,0,0
torment,2,0,1,0,0
surrender,2,1,4,2,0
irrational,2,0,0,0,0
bleed,2,0,1,1,0
smelly,2,0,0,0,0
frustrated,2,0,1,3,1
selfishness,2,0,0,2,0
plea,2,1,1,0,1
mist,2,0,0,0,0
ordeal,2,0,0,0,0
tyrannical,2,0,1,3,0
scam,2,1,4,7,0
shady,2,10,3,2,1
illegitimate,2,0,1,0,0
utterly,2,1,6,3,2
tainted,2,1,1,0,1
goofy,2,1,3,6,2
untrustworthy,2,0,1,2,1
adversary,2,1,2,1,6
delusion,2,1,5,2,2
invisible,2,0,2,0,1
bitch,2,0,1,4,0
lonely,2,0,0,1,0
mobster,2,0,0,0,0
pariah,2,0,2,0,0
scandalous,2,0,0,1,1
illiterate,2,0,0,3,0
blasphemy,2,0,1,2,0
negativity,2,0,1,2,1
cowardly,2,0,1,0,2
punk,2,0,0,2,0
shake,2,2,3,5,2
demonic,2,0,2,4,0
dunce,2,1,1,2,0
intimidate,2,0,2,0,0
partisan,2,1,4,1,5
crumbling,2,1,3,0,0
sacrificed,2,0,1,0,1
delaying,2,0,1,0,0
absurdity,2,0,1,0,1
inept,2,1,3,3,2
harassed,2,0,0,1,1
rampant,2,0,4,5,0
divisive,2,2,8,4,4
dispute,2,0,1,2,1
dirt,2,3,9,10,2
arrogant,2,2,4,3,0
shatter,2,0,1,0,1
enraged,2,0,1,0,1
degenerate,2,1,0,2,1
infuriating,2,1,1,0,1
