Palabra-,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz,,,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
TOTAL,6738,2103,8678,5895,3283,,Negativo,6738,2103,8678,5895,3283
lie,161,60,228,179,103,,Positivo,5037,2264,8408,7266,3394
criminal,134,14,109,52,17,,,,,,,
crime,96,9,94,49,26,,,,,,,
garbage,87,19,12,48,85,,,,,,,
wrong,83,36,85,65,33,,,,,,,
bad,81,34,150,90,53,,,,,,,
stupid,73,28,75,79,40,,,,,,,
prison,73,3,34,32,11,,,,,,,
fake,72,29,86,106,42,,,,,,,
hell,71,15,66,59,24,,,,,,,
joke,70,28,187,94,71,,,,,,,
funny,69,14,99,65,35,,,,,,,
problem,69,18,87,42,38,,,,,,,
corrupt,63,11,87,25,8,,,,,,,
hate,62,44,81,113,49,,,,,,,
crook,61,0,16,2,1,,,,,,,
lying,57,22,83,50,39,,,,,,,
poor,54,20,56,44,24,,,,,,,
idiot,53,20,77,59,38,,,,,,,
liar,52,26,71,41,46,,,,,,,
lost,51,22,72,101,14,,,,,,,
hard,50,30,83,59,23,,,,,,,
evil,50,17,60,46,16,,,,,,,
sorry,50,9,52,40,18,,,,,,,
crazy,49,14,58,49,14,,,,,,,
racist,48,16,35,40,32,,,,,,,
sad,47,14,83,89,22,,,,,,,
shit,46,11,34,65,7,,,,,,,
sick,45,6,52,28,13,,,,,,,
disgusting,40,15,37,29,23,,,,,,,
loser,40,8,35,27,15,,,,,,,
conspiracy,40,2,16,2,10,,,,,,,
traitor,39,4,46,12,6,,,,,,,
guilty,39,1,11,3,6,,,,,,,
worst,37,14,144,48,26,,,,,,,
dumb,37,12,34,70,11,,,,,,,
dead,36,7,53,20,11,,,,,,,
illegal,35,14,85,67,26,,,,,,,
fool,35,15,57,45,12,,,,,,,
lose,35,11,49,32,9,,,,,,,
fear,35,7,27,25,10,,,,,,,
issue,34,20,89,40,48,,,,,,,
worse,34,8,87,31,21,,,,,,,
fall,34,9,55,31,7,,,,,,,
dictator,33,12,76,31,8,,,,,,,
fraud,33,7,42,18,13,,,,,,,
death,33,4,41,19,13,,,,,,,
break,33,5,39,16,14,,,,,,,
threat,32,5,33,9,6,,,,,,,
cry,31,11,52,19,15,,,,,,,
false,29,7,18,14,11,,,,,,,
damn,28,5,31,51,13,,,,,,,
falling,28,2,30,9,2,,,,,,,
lack,28,9,19,12,16,,,,,,,
pathetic,27,6,48,47,14,,,,,,,
shame,27,12,48,40,11,,,,,,,
ridiculous,27,7,22,26,11,,,,,,,
kill,26,1,18,11,4,,,,,,,
died,25,3,38,19,4,,,,,,,
crap,25,9,27,20,10,,,,,,,
cheat,25,2,20,10,2,,,,,,,
dangerous,24,8,30,15,17,,,,,,,
felon,24,17,14,25,10,,,,,,,
failed,23,7,41,23,7,,,,,,,
enemy,23,6,30,19,7,,,,,,,
blame,23,8,29,21,12,,,,,,,
insane,23,6,19,16,9,,,,,,,
killed,22,11,37,19,8,,,,,,,
corruption,22,9,26,14,4,,,,,,,
trash,22,16,25,28,29,,,,,,,
interference,22,0,3,1,1,,,,,,,
puppet,21,16,80,61,6,,,,,,,
lied,20,12,32,37,36,,,,,,,
attack,20,13,30,11,15,,,,,,,
moron,20,4,20,22,9,,,,,,,
loss,20,5,8,6,11,,,,,,,
stormy,20,1,5,0,0,,,,,,,
destroy,19,4,40,20,14,,,,,,,
disgrace,19,7,29,15,12,,,,,,,
killing,19,4,25,17,7,,,,,,,
die,19,3,22,12,6,,,,,,,
horrible,19,21,21,24,11,,,,,,,
conservative,19,6,16,13,8,,,,,,,
smell,19,3,10,5,10,,,,,,,
protest,18,1,55,1,5,,,,,,,
propaganda,18,11,41,30,9,,,,,,,
tired,18,2,18,8,8,,,,,,,
cold,18,3,13,4,2,,,,,,,
opponent,17,5,32,14,8,,,,,,,
weird,17,24,19,20,142,,,,,,,
nonsense,17,4,15,19,8,,,,,,,
stupidity,17,1,10,4,2,,,,,,,
missed,17,2,8,3,6,,,,,,,
failure,16,3,35,12,13,,,,,,,
excuse,16,5,25,7,7,,,,,,,
doubt,16,8,24,14,10,,,,,,,
losing,16,1,22,7,11,,,,,,,
waste,16,5,11,12,13,,,,,,,
disabled,16,0,4,2,1,,,,,,,
incompetent,15,2,33,19,4,,,,,,,
worry,15,2,15,24,8,,,,,,,
bully,15,7,15,19,6,,,,,,,
ignorant,15,6,11,29,6,,,,,,,
vice,14,40,44,69,46,,,,,,,
breaking,14,1,22,6,1,,,,,,,
danger,14,6,19,9,8,,,,,,,
devil,14,6,17,18,3,,,,,,,
suck,14,11,16,10,8,,,,,,,
desperate,14,2,10,36,5,,,,,,,
absurd,14,1,1,0,2,,,,,,,
contempt,14,3,0,1,1,,,,,,,
chaos,13,1,26,6,9,,,,,,,
steal,13,1,22,10,3,,,,,,,
trouble,13,6,18,10,10,,,,,,,
loses,13,1,13,10,3,,,,,,,
cheating,13,4,12,11,3,,,,,,,
unbelievable,13,6,12,4,4,,,,,,,
awful,13,5,9,7,3,,,,,,,
violation,13,2,7,1,0,,,,,,,
killer,13,0,4,3,2,,,,,,,
insanity,13,0,3,6,2,,,,,,,
weak,12,8,41,22,7,,,,,,,
crooked,12,3,33,0,2,,,,,,,
fail,12,2,22,7,6,,,,,,,
scared,12,6,20,14,3,,,,,,,
bullshit,12,3,10,7,1,,,,,,,
whining,12,0,8,2,1,,,,,,,
loose,12,8,7,5,6,,,,,,,
dump,12,5,4,17,1,,,,,,,
senile,11,1,52,5,1,,,,,,,
mistake,11,9,21,11,3,,,,,,,
hurt,11,2,20,8,11,,,,,,,
scary,11,4,19,9,7,,,,,,,
limit,11,2,18,3,2,,,,,,,
blind,11,6,17,17,3,,,,,,,
racism,11,2,11,13,6,,,,,,,
fucking,11,2,10,12,3,,,,,,,
shocked,11,0,9,10,3,,,,,,,
authoritarian,11,1,6,5,1,,,,,,,
boring,11,6,5,5,7,,,,,,,
delay,11,1,5,0,3,,,,,,,
delusional,10,3,29,20,9,,,,,,,
embarrassment,10,2,26,19,6,,,,,,,
fault,10,1,26,8,3,,,,,,,
slow,10,0,19,9,3,,,,,,,
miss,10,3,18,20,2,,,,,,,
afraid,10,9,18,9,7,,,,,,,
angry,10,3,18,6,6,,,,,,,
hated,10,4,12,3,1,,,,,,,
impossible,10,2,11,3,2,,,,,,,
screwed,10,2,8,14,2,,,,,,,
hatred,10,2,3,16,9,,,,,,,
miserable,10,4,3,4,3,,,,,,,
terrible,9,17,44,25,5,,,,,,,
debt,9,3,33,11,7,,,,,,,
mess,9,8,29,32,6,,,,,,,
damage,9,1,26,5,9,,,,,,,
confused,9,2,25,12,2,,,,,,,
disaster,9,10,23,24,15,,,,,,,
mad,9,8,21,10,14,,,,,,,
destruction,9,1,16,4,3,,,,,,,
stolen,9,3,13,6,24,,,,,,,
murder,9,1,11,9,3,,,,,,,
loud,9,0,10,7,8,,,,,,,
stole,9,1,10,6,2,,,,,,,
badly,9,0,9,6,3,,,,,,,
madness,9,0,9,5,2,,,,,,,
corrupted,9,1,6,5,1,,,,,,,
suspect,9,3,4,1,1,,,,,,,
addict,9,0,3,0,1,,,,,,,
sue,9,0,2,3,2,,,,,,,
unconstitutional,9,0,2,2,1,,,,,,,
assassin,9,1,2,0,0,,,,,,,
dark,8,2,29,29,2,,,,,,,
fascist,8,9,23,18,6,,,,,,,
violent,8,4,17,11,7,,,,,,,
broke,8,7,16,26,6,,,,,,,
coward,8,4,15,8,14,,,,,,,
broken,8,2,13,8,2,,,,,,,
difficult,8,2,12,5,2,,,,,,,
stealing,8,3,12,12,3,,,,,,,
fallen,8,0,12,2,2,,,,,,,
refuse,8,2,12,4,2,,,,,,,
ignore,8,1,12,7,5,,,,,,,
risk,8,5,11,8,4,,,,,,,
negative,8,3,7,10,3,,,,,,,
creep,8,8,6,3,12,,,,,,,
blow,8,0,6,8,1,,,,,,,
vile,8,0,4,4,5,,,,,,,
suspicious,8,1,4,1,1,,,,,,,
drain,8,3,4,3,0,,,,,,,
complaining,8,0,4,7,2,,,,,,,
fraudulent,8,0,4,2,0,,,,,,,
wasted,8,0,3,2,2,,,,,,,
mocking,8,1,3,3,3,,,,,,,
messed,8,3,3,3,1,,,,,,,
prosecute,8,1,3,1,0,,,,,,,
stunt,8,0,2,0,3,,,,,,,
genocide,7,2,101,17,5,,,,,,,
abuse,7,2,29,4,1,,,,,,,
dislike,7,1,24,3,8,,,,,,,
suffering,7,2,21,7,7,,,,,,,
hypocrisy,7,2,19,6,4,,,,,,,
concerned,7,2,17,9,1,,,,,,,
stuck,7,5,10,2,2,,,,,,,
wild,7,1,10,10,1,,,,,,,
cancer,7,1,9,3,1,,,,,,,
ruin,7,1,9,12,1,,,,,,,
critical,7,1,9,8,2,,,,,,,
hater,7,0,9,15,2,,,,,,,
shock,7,0,8,5,2,,,,,,,
strange,7,5,8,6,4,,,,,,,
fell,7,2,8,6,3,,,,,,,
blatant,7,1,6,0,2,,,,,,,
toxic,7,1,6,2,3,,,,,,,
monster,7,1,5,2,5,,,,,,,
hoax,7,0,5,3,0,,,,,,,
drag,7,2,4,2,4,,,,,,,
cheated,7,2,3,3,0,,,,,,,
overthrow,7,0,3,1,0,,,,,,,
scream,7,1,3,4,1,,,,,,,
bogus,7,1,0,3,2,,,,,,,
fist,7,3,0,0,1,,,,,,,
creepy,6,10,21,4,18,,,,,,,
treason,6,2,18,5,4,,,,,,,
cheap,6,2,17,3,6,,,,,,,
ashamed,6,9,16,8,3,,,,,,,
concern,6,4,16,7,4,,,,,,,
bomb,6,0,15,4,1,,,,,,,
doomed,6,1,13,9,1,,,,,,,
struggle,6,0,12,11,6,,,,,,,
ruined,6,4,11,13,6,,,,,,,
suffer,6,0,11,7,2,,,,,,,
hypocrite,6,11,11,7,11,,,,,,,
heck,6,3,10,9,2,,,,,,,
insult,6,4,10,11,18,,,,,,,
illegally,6,1,10,2,2,,,,,,,
demon,6,1,10,11,7,,,,,,,
crack,6,0,9,2,0,,,,,,,
dishonest,6,3,9,5,3,,,,,,,
fat,6,1,8,6,1,,,,,,,
refused,6,5,8,2,2,,,,,,,
rhetoric,6,9,8,8,11,,,,,,,
pain,6,2,7,4,0,,,,,,,
illness,6,1,7,1,0,,,,,,,
silly,6,3,7,7,2,,,,,,,
incompetence,6,2,7,6,5,,,,,,,
disgraceful,6,2,6,5,0,,,,,,,
rip,6,1,6,6,3,,,,,,,
loot,6,0,6,0,1,,,,,,,
nasty,6,9,5,13,4,,,,,,,
sucker,6,2,5,1,0,,,,,,,
wicked,6,1,4,5,0,,,,,,,
assault,6,0,4,6,3,,,,,,,
incapable,6,1,4,7,0,,,,,,,
nightmare,6,0,4,5,2,,,,,,,
complain,6,2,4,9,2,,,,,,,
dirty,6,3,3,9,1,,,,,,,
greedy,6,1,3,1,2,,,,,,,
accusation,6,1,3,0,2,,,,,,,
hang,6,4,2,4,0,,,,,,,
bother,6,1,2,4,1,,,,,,,
rape,6,4,2,9,2,,,,,,,
wound,6,0,2,3,1,,,,,,,
mocked,6,0,1,0,3,,,,,,,
confession,6,0,1,1,1,,,,,,,
guilt,6,0,0,1,0,,,,,,,
undermine,6,1,0,1,3,,,,,,,
bothered,6,0,0,1,1,,,,,,,
stink,6,0,0,1,0,,,,,,,
crisis,5,4,45,12,9,,,,,,,
conflict,5,2,23,3,2,,,,,,,
embarrassing,5,2,22,51,5,,,,,,,
insurrection,5,4,14,2,2,,,,,,,
unfit,5,5,13,9,4,,,,,,,
fuck,5,1,11,18,0,,,,,,,
extremist,5,1,11,2,0,,,,,,,
dying,5,3,11,2,7,,,,,,,
pretend,5,1,11,13,5,,,,,,,
freaking,5,6,10,10,6,,,,,,,
disturbing,5,0,10,4,2,,,,,,,
shameful,5,0,9,5,4,,,,,,,
unfortunately,5,3,9,12,8,,,,,,,
biased,5,16,8,4,7,,,,,,,
hack,5,2,7,1,1,,,,,,,
outrageous,5,0,7,1,2,,,,,,,
bias,5,9,7,4,8,,,,,,,
lame,5,0,6,7,1,,,,,,,
collapse,5,0,6,5,1,,,,,,,
trick,5,1,5,8,0,,,,,,,
fascism,5,1,5,4,3,,,,,,,
hateful,5,3,5,9,5,,,,,,,
slave,5,1,5,19,3,,,,,,,
sadly,5,3,5,8,6,,,,,,,
emergency,5,1,4,4,1,,,,,,,
severe,5,0,4,1,4,,,,,,,
fooled,5,3,4,11,1,,,,,,,
disagree,5,3,4,8,2,,,,,,,
annoying,5,5,4,7,2,,,,,,,
sham,5,0,4,1,1,,,,,,,
injury,5,0,4,3,0,,,,,,,
pig,5,0,4,1,3,,,,,,,
terrorism,5,0,3,2,4,,,,,,,
disrespectful,5,4,3,1,4,,,,,,,
twisted,5,0,3,1,1,,,,,,,
unstable,5,1,2,0,1,,,,,,,
filthy,5,0,2,2,2,,,,,,,
smack,5,1,1,2,1,,,,,,,
offensive,5,0,1,4,1,,,,,,,
despicable,5,1,1,2,5,,,,,,,
persecution,5,1,1,0,0,,,,,,,
penalty,5,1,1,1,0,,,,,,,
bored,5,1,1,0,0,,,,,,,
undermining,5,0,1,2,0,,,,,,,
explosive,5,0,1,0,0,,,,,,,
delayed,5,1,0,1,1,,,,,,,
unrest,5,0,0,0,2,,,,,,,
cringe,4,4,18,28,10,,,,,,,
struggling,4,3,11,11,2,,,,,,,
worried,4,2,11,6,8,,,,,,,
opposition,4,3,11,4,4,,,,,,,
lunatic,4,3,10,5,3,,,,,,,
protesting,4,0,10,3,0,,,,,,,
burn,4,1,10,6,21,,,,,,,
failing,4,3,9,4,4,,,,,,,
gross,4,2,9,10,2,,,,,,,
useless,4,0,9,7,3,,,,,,,
odd,4,0,9,4,3,,,,,,,
childish,4,0,8,2,1,,,,,,,
tragedy,4,0,7,1,0,,,,,,,
harm,4,1,7,5,3,,,,,,,
hypocritical,4,0,6,2,1,,,,,,,
deluded,4,0,6,1,2,,,,,,,
darkness,4,1,6,2,2,,,,,,,
rival,4,0,6,2,2,,,,,,,
greed,4,0,5,2,1,,,,,,,
deny,4,0,4,3,0,,,,,,,
naive,4,0,4,5,1,,,,,,,
misleading,4,1,4,3,1,,,,,,,
smear,4,2,4,2,1,,,,,,,
ugly,4,1,3,2,4,,,,,,,
painful,4,0,3,8,0,,,,,,,
spewing,4,1,3,4,2,,,,,,,
begging,4,1,3,3,1,,,,,,,
symptom,4,1,3,0,0,,,,,,,
stupidest,4,0,3,0,10,,,,,,,
rotten,4,0,3,1,0,,,,,,,
liable,4,0,3,0,1,,,,,,,
ploy,4,0,2,0,0,,,,,,,
unable,4,1,2,4,1,,,,,,,
limited,4,3,2,0,0,,,,,,,
poison,4,0,2,4,1,,,,,,,
madman,4,0,2,0,1,,,,,,,
violate,4,0,2,1,0,,,,,,,
sore,4,0,2,0,0,,,,,,,
offence,4,0,2,0,0,,,,,,,
bait,4,2,2,1,0,,,,,,,
assassinate,4,2,2,1,0,,,,,,,
immature,4,3,1,0,1,,,,,,,
outrage,4,0,1,1,3,,,,,,,
reject,4,1,1,2,2,,,,,,,
insulted,4,2,1,2,1,,,,,,,
manipulation,4,2,1,3,1,,,,,,,
denying,4,0,1,0,2,,,,,,,
bent,4,0,1,0,0,,,,,,,
whine,4,0,1,1,1,,,,,,,
falsehood,4,0,1,0,2,,,,,,,
suffered,4,2,1,4,2,,,,,,,
whiny,4,0,1,0,0,,,,,,,
exhausted,4,0,1,1,1,,,,,,,
louder,4,1,1,3,2,,,,,,,
drastic,4,0,1,0,0,,,,,,,
negligence,4,1,1,0,0,,,,,,,
fatal,4,0,1,2,1,,,,,,,
reckless,4,0,0,1,1,,,,,,,
sued,4,1,0,3,1,,,,,,,
miscalculation,4,0,0,0,0,,,,,,,
ranting,4,0,0,1,0,,,,,,,
knife,4,0,0,0,0,,,,,,,
unusual,4,0,0,2,0,,,,,,,
remorse,4,0,0,1,0,,,,,,,
lazy,4,1,0,5,2,,,,,,,
punch,4,0,0,1,0,,,,,,,
split,4,0,0,3,0,,,,,,,
decline,3,0,29,3,1,,,,,,,
radical,3,5,15,7,8,,,,,,,
complex,3,7,15,4,3,,,,,,,
parody,3,0,12,3,1,,,,,,,
strike,3,3,10,3,1,,,,,,,
ruining,3,2,9,3,1,,,,,,,
clueless,3,3,8,7,3,,,,,,,
scare,3,3,7,1,1,,,,,,,
sickening,3,1,7,5,5,,,,,,,
bashing,3,2,7,4,1,,,,,,,
jerk,3,0,6,3,3,,,,,,,
weakness,3,0,6,2,3,,,,,,,
deception,3,1,6,2,0,,,,,,,
rant,3,0,6,3,1,,,,,,,
insulting,3,2,6,8,7,,,,,,,
warning,3,1,6,9,3,,,,,,,
selfish,3,0,5,5,1,,,,,,,
condemn,3,1,5,0,1,,,,,,,
joker,3,2,5,2,2,,,,,,,
horrendous,3,4,5,0,3,,,,,,,
irrelevant,3,2,5,4,2,,,,,,,
rude,3,7,5,3,0,,,,,,,
disrespect,3,2,5,3,5,,,,,,,
upset,3,4,5,5,2,,,,,,,
butcher,3,2,5,0,0,,,,,,,
burned,3,1,5,2,5,,,,,,,
drunk,3,1,5,10,5,,,,,,,
pity,3,0,5,1,0,,,,,,,
tank,3,3,5,0,1,,,,,,,
downfall,3,0,5,0,0,,,,,,,
disgusted,3,0,4,2,2,,,,,,,
dragged,3,1,4,4,2,,,,,,,
unethical,3,2,4,0,0,,,,,,,
wasting,3,0,4,3,1,,,,,,,
hurting,3,0,4,4,1,,,,,,,
dope,3,0,4,2,4,,,,,,,
hating,3,5,4,7,3,,,,,,,
resigned,3,1,4,2,0,,,,,,,
disorder,3,1,4,1,1,,,,,,,
addicted,3,1,3,0,1,,,,,,,
denial,3,0,3,2,1,,,,,,,
aggressive,3,2,3,1,0,,,,,,,
appalling,3,0,3,1,0,,,,,,,
downhill,3,0,3,0,0,,,,,,,
frightening,3,3,3,2,0,,,,,,,
fails,3,0,3,2,1,,,,,,,
rage,3,0,3,0,1,,,,,,,
bore,3,0,3,0,0,,,,,,,
bullying,3,1,3,3,3,,,,,,,
freak,3,4,3,5,8,,,,,,,
unpopular,3,0,3,1,0,,,,,,,
zombie,3,1,3,4,0,,,,,,,
boycott,3,0,3,3,3,,,,,,,
tragic,3,0,3,0,1,,,,,,,
ignorance,3,3,3,4,5,,,,,,,
bastard,3,2,3,2,1,,,,,,,
thug,3,0,3,2,1,,,,,,,
phony,3,3,3,11,11,,,,,,,
slime,3,2,2,0,1,,,,,,,
nervous,3,1,2,29,2,,,,,,,
deplorable,3,2,2,3,4,,,,,,,
chill,3,0,2,3,1,,,,,,,
deadly,3,1,2,0,0,,,,,,,
illusion,3,0,2,0,0,,,,,,,
smelling,3,0,2,1,0,,,,,,,
denied,3,1,2,4,2,,,,,,,
slowly,3,0,2,5,0,,,,,,,
declining,3,0,2,1,0,,,,,,,
bloated,3,0,2,0,0,,,,,,,
totalitarian,3,0,2,0,0,,,,,,,
idiotic,3,0,2,5,3,,,,,,,
condemned,3,0,2,1,0,,,,,,,
farce,3,0,2,0,1,,,,,,,
forbid,3,2,2,0,4,,,,,,,
bizarre,3,3,2,1,3,,,,,,,
distraction,3,1,2,3,0,,,,,,,
brainwash,3,0,2,2,1,,,,,,,
scratch,3,0,2,0,0,,,,,,,
ironic,3,1,2,5,3,,,,,,,
desperately,3,1,1,2,7,,,,,,,
redundant,3,0,1,0,1,,,,,,,
lousy,3,0,1,1,0,,,,,,,
stranger,3,0,1,2,1,,,,,,,
inability,3,0,1,1,3,,,,,,,
sloppy,3,0,1,0,0,,,,,,,
mystery,3,0,1,2,0,,,,,,,
defamation,3,0,1,0,0,,,,,,,
conflicted,3,0,1,0,0,,,,,,,
incite,3,3,1,1,0,,,,,,,
rumor,3,1,1,2,2,,,,,,,
bash,3,0,1,2,2,,,,,,,
ridiculously,3,0,1,0,2,,,,,,,
beg,3,1,1,0,2,,,,,,,
allegation,3,0,1,0,4,,,,,,,
jealous,3,4,0,6,6,,,,,,,
tantrum,3,0,0,0,0,,,,,,,
loathe,3,0,0,0,0,,,,,,,
vanity,3,1,0,0,1,,,,,,,
crushing,3,0,0,2,0,,,,,,,
bland,3,0,0,0,0,,,,,,,
downer,3,0,0,1,0,,,,,,,
tanked,3,0,0,2,1,,,,,,,
discouraging,3,0,0,0,0,,,,,,,
fiasco,3,0,0,0,1,,,,,,,
ripped,3,0,0,3,0,,,,,,,
